;titles;years;category
274;Generative adversarial networks conditioned by brain signals; 2017 ;Generative Adversarial Networks
275;[PDF] Generative adversarial networks: A primer for radiologists; 2021 ;Generative Adversarial Networks
276;Generative-adversarial-network-based wireless channel modeling: Challenges and opportunities; 2019 ;Generative Adversarial Networks
277;DDcGAN: A dual-discriminator conditional generative adversarial network for multi-resolution image fusion; 2020 ;Generative Adversarial Networks
278;Medical image synthesis for data augmentation and anonymization using generative adversarial networks; 2018 ;Generative Adversarial Networks
279;Evolving mario levels in the latent space of a deep convolutional generative adversarial network; 2018 ;Generative Adversarial Networks
280;Microstructure synthesis using style-based generative adversarial networks; 2020 ;Generative Adversarial Networks
281;A state-of-the-art review on image synthesis with generative adversarial networks; 2020 ;Generative Adversarial Networks
282;LithoGAN: End-to-end lithography modeling with generative adversarial networks; 2019 ;Generative Adversarial Networks
283;Generative adversarial networks in ophthalmology: what are these and how can they be used?; 2021 ;Generative Adversarial Networks
284;Divco: Diverse conditional image synthesis via contrastive generative adversarial network; 2021 ;Generative Adversarial Networks
285;VIGAN: Missing view imputation with generative adversarial networks; 2017 ;Generative Adversarial Networks
286;Finding mixed nash equilibria of generative adversarial networks; 2019 ;Generative Adversarial Networks
287;Improving conditional sequence generative adversarial networks by stepwise evaluation; 2019 ;Generative Adversarial Networks
288;Effective data generation for imbalanced learning using conditional generative adversarial networks; 2018 ;Generative Adversarial Networks
289;Conditional generative adversarial network for gene expression inference; 2018 ;Generative Adversarial Networks
290;Translating and segmenting multimodal medical volumes with cycle-and shape-consistency generative adversarial network; 2018 ;Generative Adversarial Networks
291;Improved boundary equilibrium generative adversarial networks; 2018 ;Generative Adversarial Networks
292;Generative adversarial networks in seismic data processing; 2018 ;Generative Adversarial Networks
293;Coegan: evaluating the coevolution effect in generative adversarial networks; 2019 ;Generative Adversarial Networks
294;Quality aware generative adversarial networks; 2019 ;Generative Adversarial Networks
295;Machinery fault diagnosis with imbalanced data using deep generative adversarial networks; 2020 ;Generative Adversarial Networks
296;Expanding functional protein sequence spaces using generative adversarial networks; 2021 ;Generative Adversarial Networks
297;Local class-specific and global image-level generative adversarial networks for semantic-guided scene generation; 2020 ;Generative Adversarial Networks
298;A novel image steganography method via deep convolutional generative adversarial networks; 2018 ;Generative Adversarial Networks
299;Enforcing statistical constraints in generative adversarial networks for modeling chaotic dynamical systems; 2020 ;Generative Adversarial Networks
300;Multi-constraint generative adversarial network for dose prediction in radiotherapy; 2022 ;Generative Adversarial Networks
301;Transferring multiscale map styles using generative adversarial networks; 2019 ;Generative Adversarial Networks
302;Metricgan: Generative adversarial networks based black-box metric scores optimization for speech enhancement; 2019 ;Generative Adversarial Networks
303;Generative adversarial networks in cardiology; 2021 ;Generative Adversarial Networks
304;Underwater image enhancement using a multiscale dense generative adversarial network; 2019 ;Generative Adversarial Networks
305;G-ids: Generative adversarial networks assisted intrusion detection system; 2020 ;Generative Adversarial Networks
306;Particle cloud generation with message passing generative adversarial networks; 2021 ;Generative Adversarial Networks
307;Tomographic reconstruction with a generative adversarial network; 2020 ;Generative Adversarial Networks
308;Learning representations of emotional speech with deep convolutional generative adversarial networks; 2017 ;Generative Adversarial Networks
309;Targeted speech adversarial example generation with generative adversarial network; 2020 ;Generative Adversarial Networks
310;3D conditional generative adversarial networks for high-quality PET image estimation at low dose; 2018 ;Generative Adversarial Networks
311;Generating multi-categorical samples with generative adversarial networks; 2018 ;Generative Adversarial Networks
312;[HTML] Electrocardiogram generation with a bidirectional LSTM-CNN generative adversarial network; 2019 ;Generative Adversarial Networks
313;Musegan: Multi-track sequential generative adversarial networks for symbolic music generation and accompaniment; 2018 ;Generative Adversarial Networks
314;GlyphGAN: Style-consistent font generation based on generative adversarial networks; 2019 ;Generative Adversarial Networks
315;Intelligent fault diagnosis method based on full 1-D convolutional generative adversarial network; 2019 ;Generative Adversarial Networks
316;Generative adversarial networks for image and video synthesis: Algorithms and applications; 2020 ;Generative Adversarial Networks
317;[HTML] Generative adversarial networks in digital pathology: a survey on trends and future potential; 2020 ;Generative Adversarial Networks
318;Knowledge‐based automated planning with three‐dimensional generative adversarial networks; 2020 ;Generative Adversarial Networks
319;Generative adversarial networks for reconstructing natural images from brain activity; 2018 ;Generative Adversarial Networks
320;Generative adversarial networks to segment skin lesions; 2018 ;Generative Adversarial Networks
321;[HTML] Out-of-domain detection based on generative adversarial network; 2018 ;Generative Adversarial Networks
322;Hifi-gan: Generative adversarial networks for efficient and high fidelity speech synthesis; 2020 ;Generative Adversarial Networks
323;Exploring speech enhancement with generative adversarial networks for robust speech recognition; 2018 ;Generative Adversarial Networks
324;Semi-supervised learning for optical flow with generative adversarial networks; 2017 ;Generative Adversarial Networks
325;Image outpainting and harmonization using generative adversarial networks; 2019 ;Generative Adversarial Networks
326;Generative adversarial networks and adversarial methods in biomedical image analysis; 2018 ;Generative Adversarial Networks
327;Automated traffic incident detection with a smaller dataset based on generative adversarial networks; 2020 ;Generative Adversarial Networks
328;Probabilistic forecasting of sensory data with generative adversarial networks–forgan; 2019 ;Generative Adversarial Networks
329;Modeling urbanization patterns with generative adversarial networks; 2018 ;Generative Adversarial Networks
330;A case study of conditional deep convolutional generative adversarial networks in machine fault diagnosis; 2021 ;Generative Adversarial Networks
331;Generative adversarial network for fault detection diagnosis of chillers; 2020 ;Generative Adversarial Networks
